문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
구슬 42개를 6명이 똑같이 나누면 한 명이 몇 개일까?,7,,,,6명에게 하나씩 돌리면 몇 바퀴 돌 수 있을까?,나눗셈 문장제,심화
스티커 56개를 7명이 똑같이 나누면 한 명이 몇 개일까?,8,,,,7명에게 하나씩 돌리면 몇 바퀴 돌 수 있을까?,나눗셈 문장제,심화
연필 28자루를 한 명에게 4자루씩 주면 몇 명에게 줄 수 있을까?,7,,,,4씩 몇 번 덜어낼 수 있어?,나눗셈 문장제,심화
연필 36자루를 한 명에게 6자루씩 주면 몇 명에게 줄 수 있을까?,6,,,,6씩 몇 번 덜어낼 수 있어?,나눗셈 문장제,심화
연필 45자루를 한 명에게 9자루씩 주면 몇 명에게 줄 수 있을까?,5,,,,9씩 몇 번 덜어낼 수 있어?,나눗셈 문장제,심화
연필 32자루를 한 명에게 8자루씩 주면 몇 명에게 줄 수 있을까?,4,,,,8씩 몇 번 덜어낼 수 있어?,나눗셈 문장제,심화
연필 54자루를 한 명에게 6자루씩 주면 몇 명에게 줄 수 있을까?,9,,,,6씩 몇 번 덜어낼 수 있어?,나눗셈 문장제,심화
? ÷ 4 = 6 일 때 ?는 얼마일까?,24,,,,4가 6번 모인 수야,거꾸로 나눗셈,심화
? ÷ 3 = 9 일 때 ?는 얼마일까?,27,,,,3가 9번 모인 수야,거꾸로 나눗셈,심화
? ÷ 7 = 5 일 때 ?는 얼마일까?,35,,,,7가 5번 모인 수야,거꾸로 나눗셈,심화
? ÷ 6 = 8 일 때 ?는 얼마일까?,48,,,,6가 8번 모인 수야,거꾸로 나눗셈,심화
? ÷ 9 = 4 일 때 ?는 얼마일까?,36,,,,9가 4번 모인 수야,거꾸로 나눗셈,심화
24 ÷ 4을(를) 구한 다음 3을(를) 곱하면?,18,,,,"먼저 24 ÷ 4부터 하고, 그 답에 3을(를) 곱해",두 단계,심화
36 ÷ 6을(를) 구한 다음 2을(를) 곱하면?,12,,,,"먼저 36 ÷ 6부터 하고, 그 답에 2을(를) 곱해",두 단계,심화
40 ÷ 5을(를) 구한 다음 4을(를) 곱하면?,32,,,,"먼저 40 ÷ 5부터 하고, 그 답에 4을(를) 곱해",두 단계,심화
48 ÷ 8을(를) 구한 다음 5을(를) 곱하면?,30,,,,"먼저 48 ÷ 8부터 하고, 그 답에 5을(를) 곱해",두 단계,심화
63 ÷ 9을(를) 구한 다음 6을(를) 곱하면?,42,,,,"먼저 63 ÷ 9부터 하고, 그 답에 6을(를) 곱해",두 단계,심화
