문제,정답,오답1,오답2,오답3,힌트,묶음,난이도,유형
52 × 8,416,,,,2×8부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈,,
64 × 3,192,,,,4×3부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈,,
73 × 5,365,,,,3×5부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈,,
85 × 2,170,,,,5×2부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈,,
96 × 4,384,,,,6×4부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈,,
58 × 6,348,,,,8×6부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈,,
12 × ? = 36,3,,,,12이(가) 몇 번 모이면 36이(가) 될까?,빈칸 곱셈,,
21 × ? = 84,4,,,,21이(가) 몇 번 모이면 84이(가) 될까?,빈칸 곱셈,,
23 × ? = 46,2,,,,23이(가) 몇 번 모이면 46이(가) 될까?,빈칸 곱셈,,
32 × ? = 96,3,,,,32이(가) 몇 번 모이면 96이(가) 될까?,빈칸 곱셈,,
24 × ? = 48,2,,,,24이(가) 몇 번 모이면 48이(가) 될까?,빈칸 곱셈,,
13 × ? = 39,3,,,,13이(가) 몇 번 모이면 39이(가) 될까?,빈칸 곱셈,,
31 × ? = 93,3,,,,31이(가) 몇 번 모이면 93이(가) 될까?,빈칸 곱셈,,
22 × ? = 88,4,,,,22이(가) 몇 번 모이면 88이(가) 될까?,빈칸 곱셈,,
41 × ? = 82,2,,,,41이(가) 몇 번 모이면 82이(가) 될까?,빈칸 곱셈,,
11 × ? = 77,7,,,,11이(가) 몇 번 모이면 77이(가) 될까?,빈칸 곱셈,,
17 × ? = 51,3,,,,17이(가) 몇 번 모이면 51이(가) 될까?,빈칸 곱셈,,
26 × ? = 104,4,,,,26이(가) 몇 번 모이면 104이(가) 될까?,빈칸 곱셈,,
38 × ? = 76,2,,,,38이(가) 몇 번 모이면 76이(가) 될까?,빈칸 곱셈,,
45 × ? = 135,3,,,,45이(가) 몇 번 모이면 135이(가) 될까?,빈칸 곱셈,,
27 × ? = 162,6,,,,27이(가) 몇 번 모이면 162이(가) 될까?,빈칸 곱셈,,
19 × ? = 95,5,,,,19이(가) 몇 번 모이면 95이(가) 될까?,빈칸 곱셈,,
36 × ? = 216,6,,,,36이(가) 몇 번 모이면 216이(가) 될까?,빈칸 곱셈,,
47 × ? = 188,4,,,,47이(가) 몇 번 모이면 188이(가) 될까?,빈칸 곱셈,,
52 × ? = 416,8,,,,52이(가) 몇 번 모이면 416이(가) 될까?,빈칸 곱셈,,
64 × ? = 192,3,,,,64이(가) 몇 번 모이면 192이(가) 될까?,빈칸 곱셈,,
한 상자에 24개씩 3상자가 있어. 모두 몇 개일까?,72,,,,24이(가) 3번 모인 거야,곱셈 문장제,심화,단답
한 상자에 36개씩 4상자가 있어. 모두 몇 개일까?,144,,,,36이(가) 4번 모인 거야,곱셈 문장제,심화,단답
한 상자에 18개씩 5상자가 있어. 모두 몇 개일까?,90,,,,18이(가) 5번 모인 거야,곱셈 문장제,심화,단답
한 상자에 45개씩 2상자가 있어. 모두 몇 개일까?,90,,,,45이(가) 2번 모인 거야,곱셈 문장제,심화,단답
한 상자에 27개씩 6상자가 있어. 모두 몇 개일까?,162,,,,27이(가) 6번 모인 거야,곱셈 문장제,심화,단답
35원짜리 사탕 4개를 사면 얼마일까?,140,,,,35×4을(를) 하면 돼,곱셈 문장제,심화,단답
48원짜리 사탕 3개를 사면 얼마일까?,144,,,,48×3을(를) 하면 돼,곱셈 문장제,심화,단답
25원짜리 사탕 6개를 사면 얼마일까?,150,,,,25×6을(를) 하면 돼,곱셈 문장제,심화,단답
60원짜리 사탕 5개를 사면 얼마일까?,300,,,,60×5을(를) 하면 돼,곱셈 문장제,심화,단답
72원짜리 사탕 2개를 사면 얼마일까?,144,,,,72×2을(를) 하면 돼,곱셈 문장제,심화,단답
? × 3 = 72 일 때 ?는 얼마일까?,24,,,,72을(를) 3(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 4 = 96 일 때 ?는 얼마일까?,24,,,,96을(를) 4(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 5 = 85 일 때 ?는 얼마일까?,17,,,,85을(를) 5(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 6 = 78 일 때 ?는 얼마일까?,13,,,,78을(를) 6(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 7 = 91 일 때 ?는 얼마일까?,13,,,,91을(를) 7(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 3 = 51 일 때 ?는 얼마일까?,17,,,,51을(를) 3(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 4 = 68 일 때 ?는 얼마일까?,17,,,,68을(를) 4(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 5 = 95 일 때 ?는 얼마일까?,19,,,,95을(를) 5(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 6 = 84 일 때 ?는 얼마일까?,14,,,,84을(를) 6(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 7 = 84 일 때 ?는 얼마일까?,12,,,,84을(를) 7(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 8 = 96 일 때 ?는 얼마일까?,12,,,,96을(를) 8(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 9 = 72 일 때 ?는 얼마일까?,8,,,,72을(를) 9(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 4 = 92 일 때 ?는 얼마일까?,23,,,,92을(를) 4(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 6 = 96 일 때 ?는 얼마일까?,16,,,,96을(를) 6(으)로 나누면 돼,거꾸로 곱셈,심화,단답
? × 8 = 88 일 때 ?는 얼마일까?,11,,,,88을(를) 8(으)로 나누면 돼,거꾸로 곱셈,심화,단답
15 × 4에서 20을(를) 빼면 얼마일까?,40,,,,먼저 15×4부터 하고 20을(를) 빼,두 단계,심화,단답
23 × 3에서 9을(를) 빼면 얼마일까?,60,,,,먼저 23×3부터 하고 9을(를) 빼,두 단계,심화,단답
18 × 5에서 30을(를) 빼면 얼마일까?,60,,,,먼저 18×5부터 하고 30을(를) 빼,두 단계,심화,단답
26 × 4에서 14을(를) 빼면 얼마일까?,90,,,,먼저 26×4부터 하고 14을(를) 빼,두 단계,심화,단답
34 × 3에서 42을(를) 빼면 얼마일까?,60,,,,먼저 34×3부터 하고 42을(를) 빼,두 단계,심화,단답
